ItemName
Karak Wraith Blueprint
Karak Wraith Barrel
Karak Wraith Receiver
Karak Wraith Stock
Latron Wraith Blueprint
Latron Wraith Barrel
Latron Wraith Receiver
Latron Wraith Stock
Strun Wraith Blueprint
Strun Wraith Barrel
Strun Wraith Receiver
Strun Wraith Stock
Twin Vipers Wraith Blueprint
Twin Vipers Wraith Barrel
Twin Vipers Wraith Receiver
Twin Vipers Wraith Link
Sheev Blueprint
Sheev Blade
Sheev Heatsink
Sheev Hilt
Dera Vandal Blueprint
Dera Vandal Barrel
Dera Vandal Receiver
Dera Vandal Stock
Snipetron Vandal Blueprint
Snipetron Vandal Barrel
Snipetron Vandal Receiver
Snipetron Vandal Stock
